,Book_Name,Publishing_Year,Author,gross_sales,publisher_revenue,sale_price,Publisher_,units_sold,Master_Genre,Master_Sub_Genre,Trope_1,Trope_2,Trope_3,Trope_4,Trope_5,Trope_6,Trope_7,Trope_8
186,THE TALISMAN,1984.0,STEPHEN KING  PETER STRAUB,234.82,140.892,1.99,AMAZON DIGITAL SERVICES   INC ,34776,FICTION,MYSTERY,FANTASY,HORROR,THRILLER,ADVENTURE,SUPERNATURAL,PARANORMAL,SCIENCE FICTION,AUDIOBOOK
187,A LITTLE LIFE,2015.0,HANYA YANAGIHARA,355.81,213.486,2.99,AMAZON DIGITAL SERVICES   INC ,38664,FICTION,LITERARY FICTION,ADULT,CONTEMPORARY,LGBT,QUEER,MENTALHEALTH,NOVELS,,AUDIOBOOK
188,ALL THE BRIGHT PLACES,2015.0,JENNIFER NIVEN  Ù Ø Ø Ù Ú  Ù Ø¹Ù ÙˆÛŒ,423.87,254.322,1.99,HARPERCOLLINS PUBLISHERS,5751,FICTION,ROMANCE,YOUNG ADULT,CONTEMPORARY,MENTALHEALTH,MENTALILLNESS,REALISTIC,TEEN,,AUDIOBOOK
189,THE ELEGANT UNIVERSE  SUPERSTRINGS  HIDDEN DIMENSIONS  AND THE QUEST FOR THE ULTIMATE THEORY,1999.0,BRIAN GREENE,352.82,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,36288,NONFICTION,SCIENCE,PHILOSOPHY,PHYSICS,ASTRONOMY,POPULARSCIENCE,SPACE,MATHEMATICS,UNFINISHED,AUDIOBOOK
190,MRS  FRISBY AND THE RATS OF NIMH,1971.0,ROBERT C  O BRIEN,1815.45,1089.27,3.99,AMAZON DIGITAL SERVICES   INC ,455,FICTION,CHILDRENS,FANTASY,CLASSICS,YOUNG ADULT,MIDDLE GRADE,ANIMALS,ADVENTURE,SCIENCE FICTION,JUVENILE
191,ONE THOUSAND WHITE WOMEN  THE JOURNALS OF MAY DODD,1998.0,JIM FERGUS,472.42,283.452,2.99,AMAZON DIGITAL SERVICES   INC ,4266,FICTION,HISTORICAL,ADULT,BOOKCLUB,WESTERNS,ADVENTURE,19TH CENTURY,,,AUDIOBOOK
192,THE ARTIST S WAY  A SPIRITUAL PATH TO HIGHER CREATIVITY,1992.0,JULIA CAMERON,670.88,0.0,5.99,AMAZON DIGITAL SERVICES   INC ,4480,NONFICTION,SELFHELP,PHILOSOPHY,WRITING,ART,SPIRITUALITY,PSYCHOLOGY,PERSONALDEVELOPMENT,REFERENCE,DESIGN
193,RED QUEEN,2015.0,VICTORIA AVEYARD,19960.0,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,4000,FICTION,ROMANCE,FANTASY,YOUNG ADULT,DYSTOPIA,MAGIC,SCIENCE FICTION,HIGH,,AUDIOBOOK
194,CHOCOLAT,1998.0,JOANNE HARRIS,873.68,524.208,6.52,AMAZON DIGITAL SERVICES   INC ,52056,FICTION,ROMANCE,ADULT,MAGICAL REALISM,FRANCE,FANTASY,CONTEMPORARY,HISTORICAL,FOOD,CHICKLIT
195,THE SIRENS OF TITAN,1959.0,KURT VONNEGUT JR ,151.0,90.6,1.0,AMAZON DIGITAL SERVICES   INC ,4077,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,HUMOR,LITERATURE,NOVELS,AMERICAN,20THCENTURY,
196,BAND OF BROTHERS  E COMPANY  506TH REGIMENT  101ST AIRBORNE FROM NORMANDY TO HITLER S EAGLE S NEST,1992.0,STEPHEN E  AMBROSE,343.85,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,2943,NONFICTION,BIOGRAPHY,HISTORICAL,HISTORY,WAR,MILITARYFICTION,WORLDWARII,MILITARYHISTORY,AMERICANHISTORY,AUDIOBOOK
197,WHITE NOISE,1985.0,DON DELILLO,573.85,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,28296,FICTION,SCIENCE FICTION,CONTEMPORARY,CLASSICS,LITERATURE,NOVELS,AMERICAN,LITERARY FICTION,20THCENTURY,THEUNITEDSTATESOFAMERICA
198,WATCHERS,1987.0,DEAN KOONTZ,1049.49,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,351,FICTION,MYSTERY,FANTASY,HORROR,THRILLER,SCIENCE FICTION,SUSPENSE,MYSTERY THRILLER,DOGS,PARANORMAL
199,1776,2005.0,DAVID MCCULLOUGH,7814.4,4688.64,11.84,RANDOM HOUSE LLC,660,NONFICTION,HISTORY,HISTORICAL,AMERICANHISTORY,AMERICANREVOLUTION,WAR,POLITICS,AMERICANREVOLUTIONARYWAR,MILITARYFICTION,AUDIOBOOK
200,DIARY,2003.0,CHUCK PALAHNIUK,1015.87,609.522,8.99,HACHETTE BOOK GROUP,2862,FICTION,MYSTERY,ADULT,HORROR,CONTEMPORARY,THRILLER,NOVELS,AMERICAN,SUSPENSE,LITERATURE
201,POST OFFICE,1971.0,CHARLES BUKOWSKI,343.85,206.31,2.99,HARPERCOLLINS PUBLISHERS,2916,FICTION,CLASSICS,CONTEMPORARY,NOVELS,LITERATURE,AMERICAN,HUMOR,20THCENTURY,THEUNITEDSTATESOFAMERICA,POETRY
202,EINSTEIN  HIS LIFE AND UNIVERSE,2007.0,WALTER ISAACSON,322.38,193.428,1.99,AMAZON DIGITAL SERVICES   INC ,4374,NONFICTION,BIOGRAPHY,HISTORICAL,SCIENCE,HISTORY,PHYSICS,BIOGRAPHYMEMOIR,AUTOBIOGRAPHY,MEMOIR,AUDIOBOOK
203,A MOVEABLE FEAST,1964.0,ERNEST HEMINGWAY,813.37,488.022,4.99,PENGUIN GROUP  USA  LLC,4401,NONFICTION,BIOGRAPHY,CLASSICS,MEMOIR,FRANCE,TRAVEL,LITERATURE,AMERICAN,BIOGRAPHYMEMOIR,AUTOBIOGRAPHY
204,STATE OF FEAR,2004.0,MICHAEL CRICHTON,114.84,68.904,0.99,AMAZON DIGITAL SERVICES   INC ,30240,FICTION,MYSTERY,ADULT,THRILLER,SCIENCE FICTION,SUSPENSE,MYSTERY THRILLER,ADVENTURE,NOVELS,POLITICS
205,THE FOREVER WAR,1974.0,JOE HALDEMAN,214.83,128.898,0.99,AMAZON DIGITAL SERVICES   INC ,5859,FICTION,SCIENCE FICTION,CLASSICS,WAR,MILITARYFICTION,SPACEOPERA,TIMETRAVEL,SPACE,SPECULATIVEFICTION,
206,THOSE WHO SAVE US,2004.0,JENNA BLUM,114.84,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,29808,FICTION,HISTORICAL,ADULT,WORLDWARII,HOLOCAUST,WAR,GERMANY,BOOKCLUB,,
207,CRYPTONOMICON,1999.0,NEAL STEPHENSON,327.36,196.416,2.48,RANDOM HOUSE LLC,50112,FICTION,SCIENCE FICTION,FANTASY,HISTORICAL,CYBERPUNK,THRILLER,WAR,NOVELS,,
208,THE KNIFE OF NEVER LETTING GO,2008.0,PATRICK NESS,1136.02,681.612,7.19,AMAZON DIGITAL SERVICES   INC ,4266,FICTION,SCIENCE FICTION,FANTASY,YOUNG ADULT,DYSTOPIA,ADVENTURE,TEEN,THRILLER,POSTAPOCALYPTIC,AUDIOBOOK
209,SEX  DRUGS  AND COCOA PUFFS  A LOW CULTURE MANIFESTO,2003.0,CHUCK KLOSTERMAN,111.87,67.122,0.99,AMAZON DIGITAL SERVICES   INC ,2862,NONFICTION,MEMOIR,CONTEMPORARY,ESSAYS,HUMOR,POPCULTURE,MUSIC,CULTURAL,SOCIOLOGY,COMEDY
210,NORTH AND SOUTH,1854.0,ELIZABETH GASKELL  ALAN SHELSTON,562.59,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,58968,FICTION,ROMANCE,ADULT,HISTORICAL,CIVILWAR,WAR,CLASSICS,AMERICANCIVILWAR,EPIC,
211,SAM S LETTERS TO JENNIFER,2001.0,JAMES PATTERSON,868.55,521.13,5.99,HACHETTE BOOK GROUP,3915,FICTION,ROMANCE,ADULT,CHICKLIT,CONTEMPORARY,MYSTERY,DRAMA,LOVE,,
212,NO COUNTRY FOR OLD MEN,2005.0,CORMAC MCCARTHY,1611.77,967.062,4.99,SIMON AND SCHUSTER DIGITAL SALES INC,323,FICTION,MYSTERY,CONTEMPORARY,THRILLER,CRIME,WESTERNS,LITERATURE,CLASSICS,NOVELS,AMERICAN
213,IT S KIND OF A FUNNY STORY,2006.0,NED VIZZINI,2045.34,1227.204,0.99,HARPERCOLLINS PUBLISHERS,2066,FICTION,ROMANCE,YOUNG ADULT,CONTEMPORARY,MENTALHEALTH,MENTALILLNESS,REALISTIC,COMING OF AGE,PSYCHOLOGY,TEEN
214,JUST KIDS,2010.0,PATTI SMITH,766.15,459.69,1.99,RANDOM HOUSE LLC,385,NONFICTION,BIOGRAPHY,MEMOIR,MUSIC,ART,AUTOBIOGRAPHY,BIOGRAPHYMEMOIR,POETRY,NEWYORK,AUDIOBOOK
215,HAWAII,1959.0,JAMES A  MICHENER,212.0,0.0,2.0,AMAZON DIGITAL SERVICES   INC ,106,FICTION,HISTORICAL,NOVELS,CLASSICS,TRAVEL,EPIC,AMERICANHISTORY,LITERATURE,AMERICAN,
216,THE CORRECTIONS,2001.0,JONATHAN FRANZEN,816.75,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,825,FICTION,LITERARY FICTION,ADULT,CONTEMPORARY,NOVELS,LITERATURE,AMERICAN,FAMILY,THEUNITEDSTATESOFAMERICA,AUDIOBOOK
217,THE CHAMBER,1994.0,JOHN GRISHAM,292.05,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,295,FICTION,MYSTERY,NOVELS,THRILLER,LEGALTHRILLER,CRIME,SUSPENSE,MYSTERY THRILLER,LAW,DRAMA
218,ALANNA  THE FIRST ADVENTURE,1983.0,TAMORA PIERCE,1867.8,1120.68,16.98,PENGUIN GROUP  USA  LLC,4280,FICTION,CHILDRENS,FANTASY,YOUNG ADULT,MAGIC,ADVENTURE,MIDDLE GRADE,HIGH,TEEN,
219,TENDER IS THE NIGHT,1933.0,F  SCOTT FITZGERALD,118.8,71.28,0.99,AMAZON DIGITAL SERVICES   INC ,42120,FICTION,ROMANCE,NOVELS,CLASSICS,LITERATURE,AMERICAN,20THCENTURY,LITERARY FICTION,FRANCE,MODERNCLASSICS
220,ROSENCRANTZ AND GUILDENSTERN ARE DEAD,1966.0,TOM STOPPARD  HENRY POPKIN,1334.54,800.724,12.59,RANDOM HOUSE LLC,106,FICTION,CLASSICS,CLASSICS,PLAYS,DRAMA,THEATRE,HUMOR,SCHOOL,LITERATURE,HIGHSCHOOL
221,FABLEHAVEN,2006.0,BRANDON MULL,1470.26,882.156,9.02,RANDOM HOUSE LLC,4401,FICTION,CHILDRENS,FANTASY,YOUNG ADULT,MIDDLE GRADE,ADVENTURE,MAGIC,JUVENILE,SCIENCE FICTION,
222,INSOMNIA,1994.0,STEPHEN KING  BETTINA BLANCH TYROLLER,2311.05,1386.63,10.65,RANDOM HOUSE LLC,5859,FICTION,MYSTERY,FANTASY,HORROR,THRILLER,SUPERNATURAL,SUSPENSE,PARANORMAL,SCIENCE FICTION,AUDIOBOOK
223,SURVIVOR,1999.0,CHUCK PALAHNIUK,192.06,115.236,0.99,HARPERCOLLINS PUBLISHERS,5238,FICTION,CONTEMPORARY,ADULT,NOVELS,THRILLER,HUMOR,AMERICAN,LITERATURE,DARK,AUDIOBOOK
224,ARE YOU THERE  VODKA  IT S ME  CHELSEA,2007.0,CHELSEA HANDLER,5462.31,3277.386,3.99,HACHETTE BOOK GROUP,1369,NONFICTION,BIOGRAPHY,HUMOR,MEMOIR,COMEDY,AUTOBIOGRAPHY,CHICKLIT,ESSAYS,BIOGRAPHYMEMOIR,AUDIOBOOK
225,NIGHT WATCH,2002.0,TERRY PRATCHETT,910.86,546.516,7.99,AMAZON DIGITAL SERVICES   INC ,2916,FICTION,SCIENCE FICTION,FANTASY,HUMOR,COMEDY,TIMETRAVEL,NOVELS,HIGH,,AUDIOBOOK
226,THE DEAD ZONE,1979.0,STEPHEN KING,1512.4,907.44,1.99,HARPERCOLLINS PUBLISHERS,760,FICTION,MYSTERY,FANTASY,HORROR,THRILLER,SCIENCE FICTION,PARANORMAL,SUPERNATURAL,SUSPENSE,AUDIOBOOK
227,LUCKY,1999.0,ALICE SEBOLD,1427.42,856.452,9.58,AMAZON DIGITAL SERVICES   INC ,4023,NONFICTION,BIOGRAPHY,ADULT,MEMOIR,TRUE CRIME,BIOGRAPHYMEMOIR,AUTOBIOGRAPHY,CRIME,CONTEMPORARY,FEMINISM
228,THE MYSTERIOUS AFFAIR AT STYLES,1920.0,AGATHA CHRISTIE  Î Î Î Î Ï Î  Î ÏŽÎºÎ Ï ,3012.45,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,755,FICTION,MYSTERY,ADULT,CLASSICS,CRIME,MYSTERY THRILLER,DETECTIVE,THRILLER,BRITISH LITERATURE,AUDIOBOOK
229,THE MURDER OF ROGER ACKROYD,1926.0,AGATHA CHRISTIE,842.24,505.344,7.52,AMAZON DIGITAL SERVICES   INC ,4440,FICTION,MYSTERY,CLASSICS,CRIME,MYSTERY THRILLER,DETECTIVE,THRILLER,BRITISH LITERATURE,MURDERMYSTERY,AUDIOBOOK
230,THE BIG SHORT  INSIDE THE DOOMSDAY MACHINE,2009.0,MICHAEL   LEWIS,1216.26,729.756,6.99,SIMON AND SCHUSTER DIGITAL SALES INC,4698,NONFICTION,HISTORY,CONTEMPORARY,BUSINESS,ECONOMICS,FINANCE,POLITICS,MONEY,JOURNALISM,AUDIOBOOK
231,HAM ON RYE,1982.0,CHARLES BUKOWSKI,196.47,0.0,1.77,AMAZON DIGITAL SERVICES   INC ,4360,FICTION,CLASSICS,CONTEMPORARY,NOVELS,LITERATURE,AMERICAN,COMING OF AGE,POETRY,THEUNITEDSTATESOFAMERICA,20THCENTURY
232,THE AUDACITY OF HOPE  THOUGHTS ON RECLAIMING THE AMERICAN DREAM,2006.0,BARACK OBAMA,3243.5,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,650,NONFICTION,BIOGRAPHY,MEMOIR,POLITICS,AUTOBIOGRAPHY,HISTORY,BIOGRAPHYMEMOIR,PRESIDENTS,PHILOSOPHY,AUDIOBOOK
233,THE STORYTELLER,2013.0,JODI PICOULT,430.65,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,435,FICTION,HISTORICAL,ADULT,HOLOCAUST,CONTEMPORARY,WORLDWARII,WAR,,,AUDIOBOOK
234,THE CASE FOR CHRIST,1988.0,LEE STROBEL,799.11,479.466,6.83,MACMILLAN,31752,NONFICTION,HISTORY,HISTORY,CHRISTIAN,RELIGION,CHRISTIANITY,FAITH,THEOLOGY,SPIRITUALITY,CHRISTIANNONFICTION
235,OLIVE KITTERIDGE,2008.0,ELIZABETH STROUT,205.92,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,5616,FICTION,LITERARY FICTION,ADULT,SHORT STORIES,CONTEMPORARY,BOOKCLUB,NOVELS,LITERATURE,,AUDIOBOOK
236,THE HOUSE OF HADES,2013.0,RICK RIORDAN,668.25,400.95,0.99,AMAZON DIGITAL SERVICES   INC ,675,FICTION,ROMANCE,FANTASY,MYTHOLOGY,YOUNG ADULT,MIDDLE GRADE,ADVENTURE,GREEKMYTHOLOGY,URBAN,CHILDRENS
237,HOUSE OF SAND AND FOG,1999.0,ANDRE DUBUS III,933.66,560.196,3.99,AMAZON DIGITAL SERVICES   INC ,234,FICTION,LITERARY FICTION,ADULT,CONTEMPORARY,NOVELS,LITERATURE,BOOKCLUB,SUSPENSE,DRAMA,
238,WIZARD AND GLASS,1997.0,STEPHEN KING  DAVE MCKEAN,1019.59,611.754,2.99,SIMON AND SCHUSTER DIGITAL SALES INC,341,FICTION,HORROR,FANTASY,SCIENCE FICTION,WESTERNS,ADVENTURE,POSTAPOCALYPTIC,NOVELS,,AUDIOBOOK
239,BETWEEN THE WORLD AND ME,2015.0,TA NEHISI COATES,523.25,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,4725,NONFICTION,BIOGRAPHY,MEMOIR,RACE,HISTORY,SOCIALJUSTICE,POLITICS,ESSAYS,AFRICANAMERICAN,AUDIOBOOK
240,THE EXORCIST,1971.0,WILLIAM PETER BLATTY,1399.32,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,468,FICTION,HORROR,ADULT,CLASSICS,PARANORMAL,THRILLER,SUPERNATURAL,FANTASY,RELIGION,AUDIOBOOK
241,THE TIGER S WIFE,2011.0,TÃ A OBREHT,113.85,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,2916,FICTION,LITERARY FICTION,ADULT,HISTORICAL,MAGICAL REALISM,BOOKCLUB,FANTASY,WAR,CONTEMPORARY,NOVELS
242,WHITE TEETH,1999.0,ZADIE SMITH,167.31,100.386,0.99,AMAZON DIGITAL SERVICES   INC ,4563,FICTION,LITERARY FICTION,ADULT,CONTEMPORARY,NOVELS,BRITISH LITERATURE,LITERATURE,HISTORICAL,CLASSICS,RACE
243,THE LIES OF LOCKE LAMORA,2006.0,SCOTT LYNCH,1324.57,794.742,2.99,SIMON AND SCHUSTER DIGITAL SALES INC,443,FICTION,MYSTERY,ADULT,FANTASY,ADVENTURE,HIGH,EPICFANTASY,SCIENCE FICTION,CRIME,AUDIOBOOK
244,THE WITCHING HOUR,1990.0,ANNE RICE,357.54,214.524,3.03,AMAZON DIGITAL SERVICES   INC ,36504,FICTION,HORROR,FANTASY,PARANORMAL,WITCHES,SUPERNATURAL,GOTHIC,URBAN,MAGIC,HISTORICAL
245,DAUGHTER OF SMOKE   BONE,2011.0,LAINI TAYLOR,37952.5,22771.5,7.99,PENGUIN GROUP  USA  LLC,4750,FICTION,ROMANCE,FANTASY,YOUNG ADULT,PARANORMAL,ANGELS,URBAN,MAGIC,SUPERNATURAL,
246,CATHERINE THE GREAT  PORTRAIT OF A WOMAN,2011.0,ROBERT K  MASSIE,110.88,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,4480,NONFICTION,BIOGRAPHY,HISTORICAL,HISTORY,RUSSIA,BIOGRAPHYMEMOIR,RUSSIANHISTORY,EUROPEANHISTORY,18THCENTURY,AUDIOBOOK
247,PREDICTABLY IRRATIONAL  THE HIDDEN FORCES THAT SHAPE OUR DECISIONS,2007.0,DAN ARIELY,563.87,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,2889,NONFICTION,SELFHELP,PSYCHOLOGY,ECONOMICS,BUSINESS,SCIENCE,SOCIOLOGY,PERSONALDEVELOPMENT,SOCIALSCIENCE,AUDIOBOOK
248,EVERY DAY,2012.0,DAVID LEVITHAN,1149.12,689.472,3.99,AMAZON DIGITAL SERVICES   INC ,288,FICTION,ROMANCE,FANTASY,YOUNG ADULT,CONTEMPORARY,LGBT,PARANORMAL,MAGICAL REALISM,TEEN,SCIENCE FICTION
249,MY HORIZONTAL LIFE  A COLLECTION OF ONE NIGHT STANDS,2004.0,CHELSEA HANDLER,1294.54,776.724,7.66,SIMON AND SCHUSTER DIGITAL SALES INC,4563,NONFICTION,BIOGRAPHY,HUMOR,MEMOIR,COMEDY,CHICKLIT,AUTOBIOGRAPHY,BIOGRAPHYMEMOIR,ESSAYS,AUDIOBOOK
250,THE POLAR EXPRESS,1985.0,CHRIS VAN ALLSBURG,1035.54,621.324,0.99,AMAZON DIGITAL SERVICES   INC ,1046,FICTION,CHILDRENS,FANTASY,PICTURE BOOKS,CHRISTMAS,CLASSICS,HOLIDAY,ADVENTURE,KIDS,JUVENILE
251,THE YEAR OF THE FLOOD,2009.0,MARGARET ATWOOD,894.88,536.928,7.99,SIMON AND SCHUSTER DIGITAL SALES INC,4480,FICTION,SCIENCE FICTION,FANTASY,DYSTOPIA,POSTAPOCALYPTIC,CANADA,SPECULATIVEFICTION,APOCALYPTIC,,AUDIOBOOK
252,GO SET A WATCHMAN,2015.0,HARPER LEE,47795.0,28677.0,8.69,AMAZON DIGITAL SERVICES   INC ,5500,FICTION,LITERARY FICTION,ADULT,HISTORICAL,CLASSICS,LITERATURE,NOVELS,,,AUDIOBOOK
253,TEAM OF RIVALS  THE POLITICAL GENIUS OF ABRAHAM LINCOLN,2005.0,DORIS KEARNS GOODWIN  SUZANNE TOREN,726.57,435.942,2.99,AMAZON DIGITAL SERVICES   INC ,243,NONFICTION,BIOGRAPHY,HISTORICAL,HISTORY,POLITICS,AMERICANHISTORY,CIVILWAR,PRESIDENTS,LEADERSHIP,AUDIOBOOK
254,BEHIND CLOSED DOORS,2016.0,B A  PARIS,919.13,551.478,8.59,PENGUIN GROUP  USA  LLC,107,FICTION,MYSTERY,ADULT,THRILLER,MYSTERY THRILLER,SUSPENSE,PSYCHOLOGICALTHRILLER,CRIME,CONTEMPORARY,AUDIOBOOK
255,ZEITOUN,2008.0,DAVE EGGERS,408.74,0.0,3.82,AMAZON DIGITAL SERVICES   INC ,107,NONFICTION,BIOGRAPHY,ADULT,HISTORY,MEMOIR,BIOGRAPHYMEMOIR,BOOKCLUB,POLITICS,CONTEMPORARY,SCHOOL
256,THE SILVER LININGS PLAYBOOK,2008.0,MATTHEW QUICK,594.0,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,600,FICTION,ROMANCE,ADULT,CONTEMPORARY,MENTALHEALTH,MENTALILLNESS,REALISTIC,DRAMA,,AUDIOBOOK
257,LEAN IN  WOMEN  WORK  AND THE WILL TO LEAD,2013.0,SHERYL SANDBERG  NELL SCOVELL,985.05,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,995,NONFICTION,BIOGRAPHY,MEMOIR,BUSINESS,FEMINISM,SELFHELP,LEADERSHIP,WOMENS,PERSONALDEVELOPMENT,AUDIOBOOK
258,LIFE AS WE KNEW IT,2006.0,SUSAN BETH PFEFFER,1097.92,658.752,7.52,AMAZON DIGITAL SERVICES   INC ,3942,FICTION,SCIENCE FICTION,FANTASY,YOUNG ADULT,DYSTOPIA,POSTAPOCALYPTIC,SURVIVAL,APOCALYPTIC,TEEN,AUDIOBOOK
259,THE YEAR OF MAGICAL THINKING,2005.0,JOAN DIDION,909.72,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,6156,NONFICTION,BIOGRAPHY,MEMOIR,BIOGRAPHYMEMOIR,DEATH,AUTOBIOGRAPHY,ESSAYS,PSYCHOLOGY,AMERICAN,AUDIOBOOK
260,EQUAL RITES,1987.0,TERRY PRATCHETT,145.53,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,3969,FICTION,SCIENCE FICTION,FANTASY,HUMOR,COMEDY,MAGIC,WITCHES,ADVENTURE,NOVELS,AUDIOBOOK
261,NAKED IN DEATH,1995.0,J D  ROBB,1772.95,1063.77,6.01,HARPERCOLLINS PUBLISHERS,295,FICTION,ROMANCE,THRILLER,MYSTERY,CRIME,ROMANTICSUSPENSE,SCIENCE FICTION,SUSPENSE,MYSTERY THRILLER,FUTURISTIC
262,THE SHORT SECOND LIFE OF BREE TANNER,2009.0,STEPHENIE MEYER,461.34,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,466,FICTION,ROMANCE,FANTASY,YOUNG ADULT,VAMPIRES,PARANORMAL,SUPERNATURAL,URBAN,TEEN,NOVELLA
263,THE BLACK SWAN  THE IMPACT OF THE HIGHLY IMPROBABLE,2007.0,NASSIM NICHOLAS TALEB,761.91,0.0,6.99,AMAZON DIGITAL SERVICES   INC ,109,NONFICTION,SCIENCE,HISTORY,ECONOMICS,BUSINESS,PHILOSOPHY,PSYCHOLOGY,FINANCE,SOCIOLOGY,MATHEMATICS
264,FIRE,2009.0,KRISTIN CASHORE,2457.95,1474.77,11.99,PENGUIN GROUP  USA  LLC,5535,FICTION,ROMANCE,FANTASY,YOUNG ADULT,ADVENTURE,MAGIC,HIGH,TEEN,PARANORMAL,
265,FOR ONE MORE DAY,2006.0,MITCH ALBOM,1488.27,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,373,FICTION,SELFHELP,ADULT,INSPIRATIONAL,CONTEMPORARY,NOVELS,FANTASY,FAMILY,DRAMA,
266,IT ENDS WITH US,2016.0,COLLEEN HOOVER,747.93,448.758,6.99,PENGUIN GROUP  USA  LLC,107,FICTION,ROMANCE,ADULT,CONTEMPORARY,NEWADULT,ABUSE,CHICKLIT,YOUNG ADULT,,AUDIOBOOK
267,EMOTIONAL INTELLIGENCE 2 0,2003.0,TRAVIS BRADBERRY  JEAN GREAVES  PATRICK LENCIONI,109.89,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,4360,NONFICTION,SELFHELP,PSYCHOLOGY,BUSINESS,LEADERSHIP,PERSONALDEVELOPMENT,BUISNESS,MANAGEMENT,RELATIONSHIPS,PRODUCTIVITY
268,ONE FISH  TWO FISH  RED FISH  BLUE FISH,1960.0,DR  SEUSS,706.45,423.87,1.99,SIMON AND SCHUSTER DIGITAL SALES INC,355,FICTION,CHILDRENS,FANTASY,PICTURE BOOKS,CLASSICS,POETRY,ANIMALS,HUMOR,KIDS,MATHEMATICS
269,THE BLOOD OF OLYMPUS,2014.0,RICK RIORDAN,162.36,97.416,0.99,AMAZON DIGITAL SERVICES   INC ,4428,FICTION,CHILDRENS,FANTASY,MYTHOLOGY,YOUNG ADULT,MIDDLE GRADE,ADVENTURE,GREEKMYTHOLOGY,URBAN,
270,THE TIME KEEPER,2012.0,MITCH ALBOM,127.71,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,48384,FICTION,SCIENCE FICTION,ADULT,FANTASY,INSPIRATIONAL,CONTEMPORARY,TIMETRAVEL,NOVELS,,AUDIOBOOK
271,DIRK GENTLY S HOLISTIC DETECTIVE AGENCY,1987.0,DOUGLAS ADAMS,478.4,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,4320,FICTION,MYSTERY,FANTASY,SCIENCE FICTION,HUMOR,COMEDY,TIMETRAVEL,DETECTIVE,,AUDIOBOOK
272,INTERPRETER OF MALADIES,1999.0,JHUMPA LAHIRI,8573.25,5143.95,10.65,PENGUIN GROUP  USA  LLC,805,FICTION,LITERARY FICTION,ADULT,SHORT STORIES,INDIA,CONTEMPORARY,LITERATURE,INDIANLITERATURE,ASIA,
273,GUARDS  GUARDS ,1989.0,TERRY PRATCHETT,1142.71,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,6183,FICTION,SCIENCE FICTION,FANTASY,HUMOR,COMEDY,DRAGONS,MAGIC,NOVELS,HIGH,AUDIOBOOK
274,HOLIDAYS ON ICE,1997.0,DAVID SEDARIS,595.01,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,5373,NONFICTION,BIOGRAPHY,HUMOR,SHORT STORIES,MEMOIR,ESSAYS,CHRISTMAS,COMEDY,HOLIDAY,AUDIOBOOK
275,THE BEACH,1996.0,ALEX GARLAND,589.36,353.616,5.56,HACHETTE BOOK GROUP,106,FICTION,MYSTERY,CONTEMPORARY,TRAVEL,THRILLER,ADVENTURE,ASIA,NOVELS,CLASSICS,LITERATURE
276,STILL LIFE WITH WOODPECKER,1980.0,TOM ROBBINS,346.84,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,29808,FICTION,LITERARY FICTION,FANTASY,HUMOR,LITERATURE,NOVELS,MAGICAL REALISM,CLASSICS,CONTEMPORARY,AMERICAN
277,CLEOPATRA  A LIFE,2006.0,STACY SCHIFF,181.17,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,4941,NONFICTION,BIOGRAPHY,HISTORICAL,HISTORY,EGYPT,BIOGRAPHYMEMOIR,AFRICA,ANCIENTHISTORY,WOMENS,AUDIOBOOK
278,LET THE GREAT WORLD SPIN,2009.0,COLUM MCCANN,394.68,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,51192,FICTION,LITERARY FICTION,ADULT,HISTORICAL,NEWYORK,BOOKCLUB,NOVELS,CONTEMPORARY,LITERATURE,
